name,description,slug,image,email,phone,fax,website,street,city,zip,country
LEW Verteilnetz GmbH ,,lew,,netznutzung@lew-verteilnetz.de,+49 000000,,http://www.lew-verteilnetz.de,Schaezlerstraße 3,Augsburg,86150,DE
LSW Netz GmbH & Co. KG,,lsw,,jan.bohne@lsw.de,+49 5361 1893630,,http://www.lsw-netz.de,Heßlinger Straße 1-5,Wolfsburg,38440,DE
Mitteldeutsche Netzgesellschaft Strom mbH,,mitnetz,,vertragsmanagement@mitnetz-strom.de,+49 000000,,http://www.mitnetz-strom.de,Industriestraße 10,Kabelsketal,06184,DE
NEW Netz GmbH ,,new-netz,,joachim.bobert@new-netz-gmbh.de,+49 02451 624-6389,,http://www.new-netz-gmbh.de,Nikolaus-Becker-Straße 28 - 34,Geilenkirchen,52511,DE
Rheinische NETZGesellschaft mbH (RNG),,rng,,Vertragsmanagement@rng.de,+49 0221 4746571,,http://www.rng.de,Parkgürtel 26,Köln,50823,DE
Stadtwerke Einbeck GmbH ,,sw-einbeck,,sdammann@stadtwerke-einbeck.de,+49 5561 942 2227,,http://www.stadtwerke-einbeck.de,Grimsehlstraße 17,Einbeck,37574,DE
Stadtwerke Kaltenkirchen GmbH,,sw-kaltenkirchen,,olaf.nimz@stadtwerke-kaltenkirchen.de,+49 4191 9360,,http://www.stadtwerke-kaltenkirchen.de,Kamper Weg 38,Kaltenkirchen,24568,DE
Stadtwerke Landshut ,,sw-landshut,,j.fellner@stadtwerke-landshut.de,+49 0871 14362076,,http://www.stadtwerke-landshut.de,Christoph-Dorner-Straße 9,Landshut,84028,DE
Stadtwerke Schorndorf GmbH ,,sw-schorndorf,,eduard.tiede@stadtwerke-schorndorf.de,+49 7181 96450-407,,http://www.stadtwerke-schorndorf.de,Augustenstraße 7,Schorndorf,73614,DE
Stadtwerke Waiblingen GmbH ,,sw-waiblingen,,a.miethe@stwwn.de,+49 7151 131322,,http://www.stwwn.de,Schorndorfer Straße 67,Waiblingen,71332,DE
Stadtwerke Wedel GmbH,,sw-wedel,,w.heller@stadtwerke-wedel.de,+49 4103 805 102,,http://www.stadtwerke-wedel.de,Feldstraße 150,Wedel,22880,DE
Stadtwerke Wiesbaden Netz GmbH,,sw-wiesbaden,,ansprechpartner-datenaustausch@sw-netz.de,+49 000000,,http://www.sw-netz.de,Konradinerallee 25,Wiesbaden,65189,DE
Stadtwerke Witzenhausen GmbH,,sw-witzenhausen,,stefan.maeder@stadtwerke-witzenhausen.de,+49 5542 5005 155,,http://www.stadtwerke-witzenhausen.de,Hinter dem Deich 9,Witzenhausen,37213,DE
Stromnetz Berlin GmbH,,stromnetz-berlin,,netzkunden@stromnetz-berlin.de,+49 30 49202 3315,,http://www.stromnetz-berlin.de,Eichenstraße 3a,Berlin,12435,DE
Stromnetz Hamburg GmbH ,,stromnetz-hamburg,,marktpartner@stromnetz-hamburg.de,+49 40 55899 1076,,https://www.stromnetz-hamburg.de,Bramfelder Chaussee 130,Hamburg,22177,DE
wesernetz Bremen GmbH,,swb-netze,,netznutzung-hb@wesernetz.de,+49 000000,,https://www.swb-netze.de/,Theodor-Heuss-Allee 20,Bremen,28197,DE
Syna GmbH ,,syna,,netznutzungsmanagement@syna.de,+49 69 31072621,,http://www.syna.de,Ludwigshafener Straße 4,Frankfurt,65929,DE
Stadtwerke München GmbH,,swm,,datenaustausch.vertrieb@swm.de,+49 000000,,http://www.swm.de,Emmy-Noether-Straße 2,München,80287,DE
LichtBlick SE,,lichtblick,,versorgerwechsel@lichtblick.de,040-6360-1200,,http://www.lichtblick.de,Zirkusweg 6,Hamburg,20359,DE
Discovergy GmbH,MPO of EasyMeters,discovergy,,re@discovergy.com,+49 2408 709454 20,,http://discovergy.de,Am Berg 12,Aachen,52076,DE
SWM Versorgungs GmbH,,swm-versorgung,,datenaustausch.vertrieb@swm.de,+49 000000,,http://www.swm.de,Emmy-Noether-Straße 2,München,80287,DE
Drittlieferant,any non-localgroup supplier,3rd-party,,unknown@unknown.de,+49 000000,,,,,,
Germany,used for energy mix 'Germany',germany,,unknown@unknown.de,+49 000000,,,,,,
Hausverwaltung Schneider,Local group owner,hv-schneider,,hv-schneider@web.de,+49 000000,,,,,,
Netz Leipzig GmbH,,netz-leipzig,,netzbilanzierung@netz-leipzig.de,+49 341 121 6080,,http://www.swl-netz.de,Arno-Nitzsche-Straße 35,Leipzig,04277,DE
Freisinger Stadtwerke Versorgungs-GmbH,,sw-freising,,lieferant@stw-freising.de,+49 8161 183164,,http://www.stw-freising.de,Wippenhauser Straße 19,Freising,85354,DE
